id,created_at,screen_name,user_name,user_location,text
594171660929896448,Fri May 01 16:08:57 +0000 2015,mybluewristband,jennz0r,"San Francisco, CA","1st post-self taught Front End Web Dev job at acquired startup SF - $53k/yr trial, $66/yr after 4 months, $76.6k/yr after 10 months #talkpay"
594171682702655489,Fri May 01 16:09:02 +0000 2015,tonylukasavage,Tony Lukasavage,Theory. Everything works here.,Or I'm overpaid. #talkpay
594171691904933888,Fri May 01 16:09:05 +0000 2015,_nadine,_nadine,Toronto,That would have been about....5 years ago that started to change? I bet the title switching came with a 25% pay bump. #talkpay
594171751023579139,Fri May 01 16:09:19 +0000 2015,epersonae,Elaine Nelson ,"Olympia, WA","#tbt #talkpay: my first full-time job was at a children's museum. when there were tough times, everybody took a pay cut. (1/n)"
594171765812645890,Fri May 01 16:09:22 +0000 2015,gyardley,Greg Yardley,"tbd, america","i get the impetus behind #talkpay but when negotiating, salary history is just a lever to be used against you. don't reveal it."
594171778416578561,Fri May 01 16:09:25 +0000 2015,shanley,Shanley,San Francisco,"a few things relevant to #talkpay in tech: as a manager, WAY FUCKING HARDER to get women hired, give them raises and pay market rate"
594171851653394432,Fri May 01 16:09:43 +0000 2015,nthall,Noah Hall,"Asheville, NC","i could never have done what i did without a raft of advantages: no student debt, for example #talkpay"
594171880795410432,Fri May 01 16:09:50 +0000 2015,GRardB,Gerard O'Neill,Brooklyn,"This is scary as hell, but fuggit. $95k -&gt; $105k -&gt; $110k as a software engineer in New York. #talkpay"
594171950169206785,Fri May 01 16:10:06 +0000 2015,hardr1ver,Tony Scriven,Phoenix Az.,#talkpay: can America's wage inequality be solved by sharing our salaries online? http://t.co/T09yy8yTMI
594171957719015424,Fri May 01 16:10:08 +0000 2015,RETRYJack,Jack Lowinger,,"If #talkpay is more of a benchmark than an expectation, it can actually help employers know what to offer and how to structure increase."
594172063348183040,Fri May 01 16:10:33 +0000 2015,epersonae,Elaine Nelson ,"Olympia, WA","everyone negotiated back at least a little...except me. I didn't think to. And because nobody talked about it, I didn't know. (2/n) #talkpay"
594172097951236097,Fri May 01 16:10:41 +0000 2015,feministy,liz abinante!,PDX,"PDX, software eng 2 (of 4), $87k, RSU bonus, options. 1 yr full stack web dev, 10 yrs HTML/CSS/design exp prev. BA, MA (not CS) #talkpay"
594172127185600512,Fri May 01 16:10:48 +0000 2015,datriannam,Datrianna Meeks,NYC - DC - CHI,Are you paying attention to the #talkpay convo that's happening on Twitter right now? @rthsiung
594172182479011840,Fri May 01 16:11:02 +0000 2015,malrase,MichaelLintornCatlin,San Francisco,"#talkpay 
2009-11: £18k (tax-free, neuro. researcher)
2011-13: $80k (tech. writer, front-end dev)
2015: $125/hr (front-end consulting)"
594172184223875073,Fri May 01 16:11:02 +0000 2015,donpdonp,Don Park,"Portland, Or",perspective: Portland city wide income average is $47k/year http://t.co/VYklk9pTeQ #talkpay
594172199692468225,Fri May 01 16:11:06 +0000 2015,calebthompson,Caleb Thompson,"Austin, TX","@CoralineAda I'm sure you know this, but people are anonymizing the info if you DM them. Search #talkpay for ""DM"" to find 'em."
594172227328843776,Fri May 01 16:11:12 +0000 2015,vipashaUofT,basic income unit ,attached to a smartphone,#talkpay: can America's wage inequality be solved by sharing our salaries online? http://t.co/IYyDnhwkEP
594172250409934848,Fri May 01 16:11:18 +0000 2015,kylewmahan,Kyle Mahan,"Burlingame, CA",The #talkpay discussion makes me super uncomfortable. I guess that is the point.
594172274317479936,Fri May 01 16:11:24 +0000 2015,sixcircuit,Kendrick Taylor,"San Francisco, CA",It's illegal to even suggest not discussing compensation: http://t.co/4mUUiiknPq #talkpay
